メディア,投稿日（推定）,タイトル／本文（抜粋）,カテゴリ,URL,メモ・要点,チェックすべき関連サイト,重要なワード,今後深堀すべきポイント
SHIFT AI Blog,2025-06-12,TikTokでAIマーメイド動画を作成する方法！作成できない時の対処法や注意点も,生成AIツール,https://shift-ai.co.jp/blog/26438/,TikTokの「AIマーメイドエフェクト」は顔写真1枚で人魚姿に変身できる無料AI機能。,"TikTok(https://www.tiktok.com) / TikTok規約(https://www.tiktok.com/legal/page/row/terms-of-service/ja)",生成AIツール,生成AIツール の実務運用
SHIFT AI Blog,2025-08-20,【画像を自由に操れる】画像生成AI「nano-banana」が登場！特徴や使い方を解説,生成AIツール/トレンド,https://shift-ai.co.jp/blog/34141/,Nano Banana ProはGemini 3 Pro基盤のGoogle開発画像生成モデル。日本語処理向上・最大14枚の画像合成が特徴。,"Google DeepMind(https://deepmind.google) / NotebookLM(https://notebooklm.google.com) / Genspark(https://www.genspark.ai)","生成AIツール, トレンド",生成AIツール の実務運用
SHIFT AI Blog,2025-12-06,Manusでスライドを自動生成する方法！生成のコツやコピペOKのプロンプトまで紹介,生成AIツール/ノウハウ,https://shift-ai.co.jp/blog/43721/,Manusはテーマから自動でプレゼン資料を生成するAIツール。構成設計から文章作成・デザインまで一貫して自動化。,"Manus(https://manus.im)","生成AIツール, ノウハウ",生成AIツール の実務運用
SHIFT AI Blog,2026-03-26,【2026年最新】Claude Codeの料金体系は？制限や用途別のおすすめプランも解説,Claude/ノウハウ,https://shift-ai.co.jp/blog/53404/,Claude Codeの料金体系を解説。個人向けProプラン（月額$20）からEnterprise向けまで複数プランがあり使用量に応じて選択可能。,"Claude公式(https://claude.com) / Claude APIドキュメント(https://platform.claude.com/docs)","Claude, ノウハウ",Claude の実務運用
SHIFT AI Blog,2026-03-26,インフォグラフィックを作成できる生成AI12選！コツや生成時に役立つプロンプト・注意点まで網羅,生成AIツール/ノウハウ,https://shift-ai.co.jp/blog/53417/,Gemini・ChatGPT・Canvaなど12のツールを比較紹介。構成案作成から微調整まで段階的なプロンプト活用法。,"Canva(https://www.canva.com) / Manus(https://manus.im) / Piktochart(https://piktochart.com) / Adobe Express(https://www.adobe.com/express) / Visme(https://www.visme.co)","生成AIツール, ノウハウ",生成AIツール の実務運用
SHIFT AI Blog,2026-03-28,Googleの新音楽生成モデル「Lyria 3 Pro」とは？料金や使い方、Suno・Udioとの違いを解説！,Gemini/トレンド,https://shift-ai.co.jp/blog/55211/,"Lyria 3 ProはGoogle DeepMindが発表した最新AI音楽生成モデル。最長3分のフルソング生成・楽曲構造のプロンプト指定・画像からの音楽生成に対応。","Gemini(https://gemini.google.com) / Suno AI(https://suno.ai) / Udio(https://www.udio.com) / GUGA(https://guga.or.jp)","Gemini, トレンド",Gemini の実務運用
X,2025-02（推定）,Genspark紹介・AIエージェントとしての活用を発信,ツール・テクノロジー,https://x.com/kawai_design/status/1891330795249254401,Gensparkをフォロワーに紹介。AIツールをいち早く試してレビューするKAWAIのスタンスが表れている,Genspark公式サイト,Genspark・AIツールレビュー・早期採用,新AIツールを即試して72時間以内にレビュー発信する習慣を作る
X,2025-03（推定）,Gensparkで背景除去を実行。約5秒で完了（動画付き）,ツール・テクノロジー,https://x.com/kawai_design/status/1896178383442313691,Genspark背景除去機能の速さをデモ。「何分かかるか？→5秒」という体験共有型の発信スタイル,Genspark公式 / remove.bg,背景除去・Genspark・スピード・実演,ツールの「速さ・使いやすさ」を実演してSNS発信できる能力を鍛える
X,2025-03（推定）,「Gensparkがまさかの検索機能終了？」——ツールの変化への素早い反応,ツール速報,https://x.com/kawai_design/status/1906702694443802995,AIツールの突然の機能変更に即反応・情報発信。変化への敏感さとフォロワーへの価値提供,Genspark公式アナウンス / Product Hunt,ツール機能変更・速報・AIサービス変動リスク,ツール依存リスクをどう管理するか（バックアッププラン）を考える
X,2025-06（推定）,AIが調査・アイデア考案・たたき台作成まで自動化——制作フローの変革,AI自動化,https://x.com/kawai_design/status/1935517805589549340,AIが調査〜アイデア〜たたき台まで担える時代の到来。デザイナーの役割が「評価・判断」に移行,SHIFT AI公式 / Anthropic公式,AIによる制作自動化・評価と判断の人間化・クリエイティブ分業,AI×人間の役割分担表（自分の仕事でどこを任せどこを担うか）を作る
