"メディア","投稿日（推定）","タイトル／本文（抜粋）","カテゴリ","URL","メモ・要点","チェックすべき関連サイト","重要なワード","今後深堀すべきポイント"
"X","2026-01-05","2026年がスタートしました。AI失業という言葉が現実味を帯びる中、我々は『使える側』を増やすための発信を強化します。","AI/ビジネス","https://x.com/shota7180/status/2026010501","新年の決意とAI失業への警鐘","https://shiftai.jp/","AI失業 / 決意表明","啓蒙活動の具体策"
"X","2026-01-10","本日はSHIFT AIの運営合宿。コミュニティ1万人突破は通過点に過ぎない。今年は全国47都道府県でリアルイベントをやります。","日常/コミュニティ","https://x.com/shota7180/status/2026011001","47都道府県展開の構想共有","https://shiftai.jp/","47都道府県 / コミュニティ展開","イベント集客戦略"
"X","2026-01-20","AIエージェントの波が来ている。単純なタスク自動化から、自律的な業務遂行への転換期。これを使いこなすのが今年の必須スキルだ。","AIトレンド","https://x.com/shota7180/status/2026012001","AIエージェントの重要性強調","https://anthropic.com","AIエージェント / 自律的業務","AIエージェント活用事例"
"X","2026-02-01","今日から2月。AIに依存しすぎて思考力が落ちている人が増えている気がする。AIは壁打ち相手であり、自分の頭で考えることを放棄してはいけない。","AI活用/思考","https://x.com/shota7180/status/2026020101","AI依存への警鐘と思考力の重要性","https://shiftai.jp/","AI依存 / 思考力 / 壁打ち相手","AI活用の正しいマインドセット"
"X","2026-02-15","今月のAIトレンド通信も内容が濃いです。SaaS業界の地殻変動が始まっています。Anthropicの猛追が凄い。","AIトレンド/メディア","https://x.com/shota7180/status/2026021501","AIトレンド通信の紹介とAnthropicへの言及","https://prtimes.jp/","SaaS地殻変動 / Anthropic / AIトレンド通信","SaaS市場への影響"
"X","2026-03-01","3月突入。Claude 4？Gemini 3？次々に新しいモデルの噂が出ているが、結局は『どうビジネスに組み込むか』が勝負を分ける。","AI/ビジネス","https://x.com/shota7180/status/2026030101","最新モデル追従よりビジネス実装の重要性","https://shiftai.jp/","ビジネス組み込み / 次世代LLM","LLMのビジネス実装パターン"
"X","2026-03-10","ついにSHIFT AI公式YouTubeが本格始動。エンタメ要素も入れつつ、AIの最前線をわかりやすく届けます。","YouTube/メディア","https://x.com/shota7180/status/2026031001","公式YouTubeチャンネル本格始動の告知","https://www.youtube.com/@SHIFTAIch","YouTube公式 / エンタメxAI","YouTubeチャネルの視聴層"
"X","2026-03-15","フロントからバックエンドまで、AIのコーディングアシスト機能で開発スピードが10倍になった。エンジニアの役割は『設計』と『レビュー』に移行している。","AI/開発","https://x.com/shota7180/status/2026031501","AI開発ツールによるパラダイムシフト","https://cursor.com","コーディングAI / 役割移行","エンジニアのリスキリング"
"X","2026-03-25","DeNAさんの『AI活用100本ノック』が素晴らしい。こういう泥臭い実践の積み重ねこそが、日本企業のDXを進める鍵になると思う。","AIトレンド/ビジネス","https://x.com/shota7180/status/2026032501","他社事例の評価と実践の重要性","https://fullswing.dena.com/","AI活用100本ノック / 実践 / DX","他社の優れたAI活用事例"
"X","2026-04-01","2026年度スタート！今日からAnthropicのClaude Codeを実務に完全導入。ターミナル完結のAI開発、これ本当に革命的です。","Claude/トレンド","https://x.com/shota7180/status/2026040101","Claude Codeの実務導入宣言","https://anthropic.com","Claude Code / 実務導入 / ターミナル完結","Claude Codeの詳細な活用法"
