メディア,投稿日（推定）,タイトル／本文（抜粋）,カテゴリ,URL,メモ・要点,チェックすべき関連サイト,重要なワード,今後深堀すべきポイント
prtimes,2025-01-14,SHIFT AIコミュニティ会員1万人達成 1月21日に記念イベント開催,コミュニティ,https://prtimes.jp/main/html/rd/p/000000095.000116644.html,会員1万人達成。250名超参加のリアルイベント開催,shift-ai.co.jp,コミュニティ会員数 / MEET UP 2025,会員数増加の速度推移
prtimes,2025-03-02,2025 AIトレンド通信 2月号 2025年の生成AI業界を徹底予想,メディア,https://prtimes.jp/main/html/rd/p/000000114.000116644.html,AIエージェント元年・GPU需要・AI規制強化をテーマに予測,prtimes.jp,AIエージェント元年 / GPU需要,毎月のトレンド通信発行タイミング
prtimes,2025-03-31,2025 AIトレンド通信 3月号 Geminiの新機能リリースを徹底解説,メディア,https://prtimes.jp/main/html/rd/p/000000123.000116644.html,Gemini 2.5 Pro experimentalの発表・Canvas機能を中心に解説,prtimes.jp,Gemini 2.5 / Canvas,Gemini vs Claude vs ChatGPT の比較記事戦略
prtimes,2025-04-08,SHIFT AI for Biz AI検索エンジンコース受付開始,法人向けサービス,https://prtimes.jp/main/html/rd/p/000000125.000116644.html,AI検索エンジン（Perplexityなど）の活用を学ぶ法人向けeラーニングコース,shift-ai.co.jp,AI検索エンジン / Perplexity / 法人研修,法人向けコース拡充の月次リリース頻度
prtimes,2025-04-24,47都道府県で超少人数AI共同作業会 ゆるっと作業会 47PROJECT 全日程確定,コミュニティ,https://prtimes.jp/main/html/rd/p/000000152.000116644.html,地域AI格差解消を目的に47都道府県で作業会を7月までに全都道府県開催,shift-ai.co.jp,47PROJECT / ゆるっと作業会 / 地域格差,地方会員への訴求戦略
prtimes,2025-05-21,SHIFT AI代表 木内翔大 書籍 AIのド素人ですが10年後も仕事とお金に困らない方法を教えて下さい！発売,書籍出版,https://shift-ai.co.jp/news/post-24754/,KADOKAWA刊。AI初心者向けにAI時代を生き抜く方法を提示,kadokawa.co.jp,書籍出版 / KADOKAWA / AI初心者向け,累計部数・書籍をきっかけとした新規会員流入効果
prtimes,2025-05-22,SHIFT AI代表 木内翔大 ひろゆき氏とYouTube番組ReHacQで対談 真のAI人材を語る,メディア出演,https://prtimes.jp/main/html/rd/p/000000141.000116644.html,ReHacQにてひろゆきと対談。AI失業の現状・真のAI人材・キャリア戦略をテーマに議論,youtube.com,ReHacQ / ひろゆき / AI失業 / 真のAI人材,YouTube対談の視聴数・SNS拡散効果
prtimes,2025-05-29,SHIFT AI for Biz Difyコース提供開始,法人向けサービス,https://prtimes.jp/main/html/rd/p/000000142.000116644.html,ノーコードAIアプリ開発ツールDifyの活用コースを法人向けに提供開始,prtimes.jp,Dify / ノーコード / AIアプリ開発 / 法人,Difyを使った業務自動化案件の増加傾向分析
prtimes,2025-05-30,SHIFT AI for Biz Microsoft 365 Copilotコース提供開始,法人向けサービス,https://prtimes.jp/main/html/rd/p/000000143.000116644.html,Microsoft 365 Copilotの活用を学ぶ法人向けeラーニングコース,prtimes.jp,Microsoft 365 Copilot / 法人研修,MicrosoftとSHIFT AIの協業可能性
prtimes,2025-06-03,SHIFT AI コミュニティ会員2万人達成,コミュニティ成長,https://prtimes.jp/main/html/rd/p/000000150.000116644.html,2025年6月3日に累計会員2万人突破。初学者から経営層まで幅広い層に浸透,shift-ai.co.jp,会員2万人 / AI人材 / コミュニティ,会員属性の変化
prtimes,2025-06-18,重版決定 木内翔大 書籍 発売後わずか1週間で5000部増刷,書籍,https://prtimes.jp/main/html/rd/p/000000151.000116644.html,AIのド素人ですがが発売後1週間で5000部増刷決定,kadokawa.co.jp,重版 / 5000部 / AIキャリア書籍,書籍の累計部数推移と読者層の分析
prtimes,2025-06-30,2025 AIトレンド通信 6月号 主要AIツール別 最新動向,メディア,https://prtimes.jp/main/html/rd/p/000000154.000116644.html,6月の主要AIツールの最新アップデートを総まとめ,prtimes.jp,AIツール別動向 / OpenAI / Anthropic,毎月トレンド通信に掲載されるツール別の言及頻度の変化
prtimes,2025-07-22,SHIFT AI代表 木内翔大 書籍累計3.6万部突破の中 出版記念講演会を開催,書籍・イベント,https://prtimes.jp/main/html/rd/p/000000158.000116644.html,7月19日ベルサール日本橋で300名超参加の出版記念講演会を開催,service.shift-ai.co.jp,出版記念講演 / 3.6万部 / AIキャリア戦略,講演イベントからのコミュニティ入会転換率の推計
