"メディア","投稿日（推定）","タイトル／本文（抜粋）","カテゴリ","URL","メモ・要点","チェックすべき関連サイト","重要なワード","今後深堀すべきポイント"
"X","2026-03-30","Tera（TERAMACHI）：AIディレクター、コンテンツディレクター。","SEO/AI","https://x.com/tewriter_0327","SEOとマーケティングを融合させたCV重視のコンテンツ設計。AIによる効率化と人間力のシナジーを追求。","https://x.com/seiichi_satoweb","SEO, コンテンツディレクション, AI Director","CV重視の高品質コンテンツ設計"
"SHIFT AI Blog","2025-12-06","ChatGPTが文字数を守らない時の3つの対処法！プロンプトや注意点も紹介","ChatGPT/ノウハウ","https://shift-ai.co.jp/blog/43948/","制約を箇条書きで明示、短く書かせてから拡張、段落数を固定する3つの対処法を解説。","ChatGPT(https://chatgpt.com)","ChatGPT, ノウハウ","ChatGPT の実務運用"
"SHIFT AI Blog","2025-06-13","ChatGPT登場でブログはオワコン？理由や活用のメリットデメリットを解説","ChatGPT/ノウハウ","https://shift-ai.co.jp/blog/26779/","専門性・一次情報・ストーリー性を備えた記事の価値。AIを効率化ツールとして活用するブログ運営。","Google Search Central(https://developers.google.com/search) / Search Engine Land(https://searchengineland.com)","ChatGPT, ノウハウ","ChatGPT の実務運用"
"SHIFT AI Blog","2025-01-21","生成AIのハルシネーションとは？発生する原因と3つの対策をわかりやすく解説","AIキャリア・学習/ノウハウ","https://shift-ai.co.jp/blog/15186/","誤情報を事実のように出力する現象の対策。プロンプト改善・ファクトチェックなど。","GUGA(https://guga.or.jp)","AIキャリア・学習, ノウハウ","AIキャリア・学習 の実務運用"
"SHIFT AI Blog","2025-01-20","AI翻訳の副業は稼げる？怪しいと言われる理由や実態・初心者が始める方法まで解説！","AI副業/ノウハウ","https://shift-ai.co.jp/blog/15156/","ポストエディット方式が主流。専門分野特化と効率的なAI活用で稼ぎやすくなる。","クラウドワークス(https://crowdworks.jp) / ランサーズ(https://www.lancers.jp)","AI副業, ノウハウ","AI副業 の実務運用"
"note（tera684）","2025-07-07","noteが書けない理由","自己振り返り","https://note.com/tera684/n/n2d7e4899d84b","noteをタスク化していないため投稿が進まない。3ヶ月で2記事のみ。本業・副業が多忙で優先順位が下がると率直に分析","note.com/tera684","タスク管理 / 優先順位 / 副業ライター","継続投稿の障壁・タスク化の工夫について後続記事があるか確認"
"note（tera684）","2025-05-01","自己紹介｜店長経験しかなかった自分がライターに出会うまでの話","自己紹介","https://note.com/tera684/","EC・小売・飲食店長10年 → Webライター転向の経緯を綴った自己紹介記事","note.com/tera684","キャリア転換 / EC運営 / 店長経験","ライター転身の動機・SHIFT AI入会のきっかけとの関連"
"X（@tewriter_0327）","2025-07-23","AIを使っているからこそAIに代替されない価値を見つけられる","AIディレクター視点","https://x.com/tewriter_0327/status/1944046686138937524","AIを使うことで逆にAIに代替できない領域が見えてくるという論考","x.com/tewriter_0327","AI代替不可価値 / ディレクター視点 / コンテンツ設計","noteの当該記事URLを直接フェッチして本文全文を収集"
"X（@tewriter_0327）","2026-04-01","動画拝見しました。入稿はもちろんリライト自体の効率も高められそうなので早速実践していきます","活動報告","https://x.com/tewriter_0327/status/1958304666829094926","他者の動画コンテンツを参照しリライト効率化に言及。AIを活用した入稿・リライト工程に積極的","x.com/tewriter_0327","リライト効率化 / AIライティング / 入稿作業","対象動画の内容・発信者を特定して深堀り"
"note（AI Dreamers Production）","2025-04-07","LLMO?AIO?AI時代のSEO対策とは。WEBライター歴10年 講師：佐藤誠一 氏 #69","セミナーレポート","https://note.com/ai_futurestudy/n/n563ec2307f8c","AI Dreamers Production #69に佐藤誠一が登壇。LLMO・AIO・GEO等AI時代のSEO概念を解説","note.com/ai_futurestudy","LLMO / AIO / GEO / AI Overview / プロンプトエンジニアリング","セミナーの録画・資料が公開されていれば詳細内容を取得"
"webwriter-school.net","2026-02-03","Webライターの将来性は？AI時代に稼ぎ続ける4つの生存戦略","SEO・キャリア論","https://webwriter-school.net/web-writer-future/","AIにより単純記事は衰退・一次情報や体験の価値上昇。プロンプトエンジニアリング・セールスライティング・専門知識が生存スキル","webwriter-school.net","AI×Webライター生存戦略 / プロンプトエンジニアリング / 一次情報","記事内で紹介されている具体的なAIツール・プロンプト手法を精査"
